Name,Ki,MaxKi,race,gender,image
Goku,60.000.000,90 Septillion,Saiyan,Male,https://dragonball-api.com/characters/goku_normal.webp
Vegeta,54.000.000,19.84 Septillion,Saiyan,Male,https://dragonball-api.com/characters/vegeta_normal.webp
Piccolo,2.000.000,500.000.000,Namekian,Male,https://dragonball-api.com/characters/picolo_normal.webp
Bulma,0,0,Human,Female,https://dragonball-api.com/characters/bulma.webp
Freezer,530,52.71 Septillion,Frieza Race,Male,https://dragonball-api.com/characters/Freezer.webp
Zarbon,20,30,Frieza Race,Male,https://dragonball-api.com/characters/zarbon.webp
Dodoria,18,20,Frieza Race,Male,https://dragonball-api.com/characters/dodoria.webp
Ginyu,9,25,Frieza Race,Male,https://dragonball-api.com/characters/ginyu.webp
Celula,250.000.000,5 Billion,Android,Male,https://dragonball-api.com/characters/celula.webp
Gohan,45.000.000,40 septillion,Saiyan,Male,https://dragonball-api.com/characters/gohan.webp
Krillin,1.000.000,1 Billion,Human,Male,https://dragonball-api.com/characters/Krilin_Universo7.webp
Tenshinhan,2.400.000,80.000.000,Human,Male,https://dragonball-api.com/characters/Tenshinhan_Universo7.webp
Yamcha,1.980.000,4.000.000,Human,Male,https://dragonball-api.com/characters/Final_Yamcha.webp
Chi-Chi,0,0,Human,Female,https://dragonball-api.com/characters/ChiChi_DBS.webp
Gotenks,65.600.000,34.8 Billion,Saiyan,Male,https://dragonball-api.com/characters/Gotenks_Artwork.webp
Trunks,50.000.000,37.4 septllion,Saiyan,Male,https://dragonball-api.com/characters/Trunks_Buu_Artwork.webp
Master Roshi,500,350.000.000,Human,Male,https://dragonball-api.com/characters/roshi.webp
Bardock,450,180.000.000,Saiyan,Male,https://dragonball-api.com/characters/Bardock_Artwork.webp
Launch,0,0,Human,Female,https://dragonball-api.com/characters/Lunch_traje_de_sirvienta_en_el_manga.webp
Mr. Satan,450,5,Human,Male,https://dragonball-api.com/characters/Mr_Satan_DBSuper.webp
Dende,3.2,3.2,Namekian,Male,https://dragonball-api.com/characters/Dende_Artwork.webp
Artwork,320.000.000,40 Quintillion,Android,Male,https://dragonball-api.com/characters/17_Artwork.webp
Dr. Gero,128.000.000,158.100.000,Android,Male,https://dragonball-api.com/characters/Dr._Gero nadroide 20.webp
Dokkan,192.500.000,192.500.000,Android,Male,https://dragonball-api.com/characters/14Dokkan.webp
Nail,42,42,Namekian,Male,https://dragonball-api.com/characters/Nail_Artwork.webp
Raditz,1.5,1.5,Saiyan,Male,https://dragonball-api.com/characters/Raditz_artwork_Dokkan.webp
Babidi,0,0,Majin,Male,https://dragonball-api.com/characters/Babidi_Artwork.webp
Majin Buu,8 Billion,100 Trillion,Majin,Male,https://dragonball-api.com/characters/BuuGordo_Universo7.webp
Bills,102 Billion,100 septillion,God,Male,https://dragonball-api.com/characters/Beerus_DBS_Broly_Artwork.webp
Whis,15 septillion,110 septillion,Angel,Male,https://dragonball-api.com/characters/Whis_DBS_Broly_Artwork.webp
Zeno,500 Septillion,500 Septillion,Unknown,Male,https://dragonball-api.com/characters/Zeno_Artwork.webp
Kibito-Shin,3.2 Billion,3.2 Billion,God,Male,https://dragonball-api.com/characters/Kibito_shin_Artwork.webp
Jiren,121 Quintillion,12.1 Septillion,Jiren Race,Male,https://dragonball-api.com/characters/Jiren.webp
Toppo,99 Quadrillion,7.5 Sextillion,God,Male,https://dragonball-api.com/characters/Toppo.webp
Dyspo,50 Trillion,150 Quintillion,God,Male,https://dragonball-api.com/characters/Dispo_render.webp
Marcarita,10 septillion,99.5 septillion,Angel,Female,https://dragonball-api.com/characters/Marcarita.webp
Vermoudh,9.9 Septillion,100 septillion,God,Male,https://dragonball-api.com/characters/Vermoud.webp
